case_id,transaction_id,customer_id,verdict,case_note
CASE6860,TXN101860,CUST1287,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5353,TXN100353,CUST1211,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6333,TXN101333,CUST1002,Fraud Confirmed,"Multiple high-value transactions from Kolkata within a short window, inconsistent with customer's usual spending pattern in Kolkata. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE5905,TXN100905,CUST1056,Legitimate,Routine purchase at Zomato; amount and location consistent with customer behavior. No further action needed.
CASE6289,TXN101289,CUST1221,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE6273,TXN101273,CUST1173,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5938,TXN100938,CUST1167,Legitimate,"Customer Meera Iyer made a transaction of ₹3040.76 at PayU Recharge in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6731,TXN101731,CUST1116,Fraud Confirmed,"Multiple high-value transactions from Dubai within a short window, inconsistent with customer's usual spending pattern in Dubai. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE5065,TXN100065,CUST1088,Fraud Confirmed,"Multiple high-value transactions from Dubai within a short window, inconsistent with customer's usual spending pattern in Dubai. Flagged for geo-velocity mismatch. Confirmed as fraud after customer denied transactions."
CASE6323,TXN101323,CUST1164,Legitimate,"Customer Rohan Gupta made a transaction of ₹2312.34 at Flipkart in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5056,TXN100056,CUST1038,Legitimate,"Customer Sai Das made a transaction of ₹2548.69 at Uber in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6292,TXN101292,CUST1252,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE6118,TXN101118,CUST1227,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5584,TXN100584,CUST1085,Legitimate,"Customer Sanya Reddy made a transaction of ₹2586.89 at Zomato in Jaipur, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5374,TXN100374,CUST1164,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5275,TXN100275,CUST1231,Legitimate,Routine purchase at Amazon; amount and location consistent with customer behavior. No further action needed.
CASE5746,TXN100746,CUST1240,Legitimate,Routine purchase at PayU Recharge; amount and location consistent with customer behavior. No further action needed.
CASE5128,TXN100128,CUST1087,Legitimate,Routine purchase at Uber; amount and location consistent with customer behavior. No further action needed.
CASE6646,TXN101646,CUST1099,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6852,TXN101852,CUST1148,Legitimate,"Customer Priya Verma made a transaction of ₹1847.06 at Uber in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5674,TXN100674,CUST1141,Legitimate,"Customer Vivaan Das made a transaction of ₹1753.79 at Uber in Gurgaon, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6664,TXN101664,CUST1055,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE6981,TXN101981,CUST1185,Legitimate,"Customer Priya Singh made a transaction of ₹3032.1 at BigBasket in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6083,TXN101083,CUST1096,Legitimate,"Customer Aarav Kumar made a transaction of ₹2275.23 at Swiggy in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6922,TXN101922,CUST1042,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE5099,TXN100099,CUST1263,Legitimate,Routine purchase at Cash Withdrawal ATM; amount and location consistent with customer behavior. No further action needed.
CASE6179,TXN101179,CUST1257,Legitimate,Routine purchase at Amazon; amount and location consistent with customer behavior. No further action needed.
CASE5964,TXN100964,CUST1147,Legitimate,Routine purchase at Flipkart; amount and location consistent with customer behavior. No further action needed.
CASE5792,TXN100792,CUST1254,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5029,TXN100029,CUST1173,Legitimate,"Customer Aryan Reddy made a transaction of ₹1368.1 at IRCTC in Hyderabad, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5628,TXN100628,CUST1132,Legitimate,"Customer Neha Joshi made a transaction of ₹868.38 at Uber in Bangalore, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5944,TXN100944,CUST1176,Legitimate,"Customer Aryan Patel made a transaction of ₹3565.03 at Flipkart in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5572,TXN100572,CUST1134,Legitimate,"Customer Ananya Patel made a transaction of ₹2353.5 at Myntra in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5907,TXN100907,CUST1074,Legitimate,"Customer Kabir Sharma made a transaction of ₹4423.34 at Swiggy in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6080,TXN101080,CUST1144,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5450,TXN100450,CUST1113,Legitimate,"Customer Kabir Iyer made a transaction of ₹3202.19 at Myntra in Mumbai, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6609,TXN101609,CUST1055,Legitimate,"Customer Karan Reddy made a transaction of ₹3561.78 at Ola in Pune, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6290,TXN101290,CUST1201,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE6078,TXN101078,CUST1162,Legitimate,"Transaction flagged by automated rule due to slightly elevated amount, but device and location matched customer's usual profile. Confirmed legitimate after customer verification call."
CASE5254,TXN100254,CUST1137,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5124,TXN100124,CUST1063,Legitimate,Routine purchase at Local Kirana Store; amount and location consistent with customer behavior. No further action needed.
CASE6927,TXN101927,CUST1186,Legitimate,Routine purchase at Ola; amount and location consistent with customer behavior. No further action needed.
CASE5251,TXN100251,CUST1047,Legitimate,Routine purchase at BigBasket; amount and location consistent with customer behavior. No further action needed.
CASE5585,TXN100585,CUST1193,Legitimate,"Customer Ananya Mehta made a transaction of ₹4297.43 at Electricity Board in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE6568,TXN101568,CUST1208,Legitimate,"Customer Diya Sharma made a transaction of ₹6831.25 at Swiggy in Delhi, consistent with prior spending history. No anomalies found; case closed as legitimate."
CASE5824,TXN100824,CUST1176,Legitimate,"Customer Aryan Patel made a transaction of ₹5126.67 at IRCTC in Kolkata, consistent with prior spending history. No anomalies found; case closed as legitimate."
